segment_id,kind,start_frame,end_frame,start_time,end_time,duration,max_tip_speed_mm_s,mean_tip_speed_mm_s,max_angular_speed_deg_s,mean_angular_speed_deg_s
0,rapid_candidate,527,580,4.39166666666667,4.83333333333333,0.4416666666666602,4577.741318591498,3780.5504642913943,578.5335936730041,334.39776421354765
1,rapid_candidate,625,721,5.20833333333333,6.00833333333333,0.7999999999999998,2820.5051064855465,2514.7308343064788,254.1458302102763,174.94072505700595
2,rapid_candidate,1312,1364,10.9333333333333,11.3666666666667,0.4333333333333993,5513.93310793131,4244.900700340994,800.9904444082734,389.19684173756656
3,rapid_candidate,1406,1462,11.7166666666667,12.1833333333333,0.4666666666665993,2558.231795858746,2374.9863670636646,236.72271515933917,201.0317959898733
4,rapid_candidate,2098,2136,17.4833333333333,17.8,0.31666666666670196,2368.9010126622056,2150.798340902146,341.68622888312194,234.66289936386906
5,rapid_candidate,2224,2266,18.5333333333333,18.8833333333333,0.3500000000000014,2186.2230026422812,2022.2106179817188,358.13223993888556,242.58143372729623
6,rapid_candidate,2770,2820,23.0833333333333,23.5,0.4166666666666998,2399.3326207681926,2086.432017270568,498.0893923157877,247.5045383788876
7,rapid_candidate,2851,2884,23.7583333333333,24.0333333333333,0.2749999999999986,1982.6176487862829,1595.2963973694368,329.5697660616975,263.1449382360147
8,rapid_candidate,3440,3519,28.6666666666667,29.325,0.6583333333332995,3158.1692834204227,2714.0802210476772,428.1508706794027,233.7225553979284
9,rapid_candidate,3573,3626,29.775,30.2166666666667,0.44166666666670196,2466.3545772268994,2348.6931405712025,356.29972795540806,235.1738829181269
